id,lat,long
306035732,43.1176845,131.9434856
306035734,43.1187687,131.9437555
306037670,43.1105307,131.9478942
306037675,43.1096497,131.9496729
306037681,43.1130233,131.9535643
306046677,43.1164672,131.9084965
306046719,43.1155168,131.912151
306665591,43.1178188,131.8874248
306665651,43.1193084,131.88946
307558430,43.115328,131.8906995
307558588,43.1158053,131.8929395
307558603,43.1153733,131.8916223
307559487,43.1122491,131.9212373
309985325,43.1347155,131.9258046
309985806,43.1300273,131.9174758
312409807,43.1022585,131.8684541
312410381,43.1254157,131.8990468
312410491,43.1265733,131.8981826
313400695,43.120805,131.8877211
313401223,43.1187943,131.8910225
317475804,43.1049116,131.9476273
317476300,43.1120792,131.9561452
317477070,43.1164299,131.9511541
317477994,43.0991295,131.9672294
317478011,43.0985061,131.9771993
317478839,43.0946424,131.91991
317478840,43.093668,131.9195564
317478869,43.099453,131.9213407
317824159,43.101755,131.9129133
317825667,43.1001227,131.9773393
317825808,43.1030808,131.9829808
318018617,43.1008765,131.8970019
318018623,43.1016297,131.8978561
319321230,43.1004704,131.9415958
319323798,43.099867,131.9459844
319324464,43.0992367,131.9473315
319324484,43.0987091,131.9474173
319327067,43.0956391,131.9502185
319327080,43.0934236,131.950308
319329602,43.1037909,131.9377272
319330282,43.1074681,131.9392367
319361134,43.1104602,131.9357329
319364229,43.1275622,131.9399439
319364670,43.1306233,131.941819
319366203,43.1374427,131.9532216
319369424,43.1367557,131.942591
319369449,43.136833,131.9589613
319374090,43.1331752,131.903194
319374093,43.1333185,131.9077224
319374381,43.1366286,131.900057
319375500,43.1249265,131.8854755
319376112,43.1263337,131.884867
322489003,43.1284478,131.9377242
322489454,43.1280601,131.939549
322489832,43.1196601,131.9371891
322494972,43.1204609,131.9325843
322494975,43.1199639,131.9330802
322495618,43.1122919,131.9264988
322495990,43.1124511,131.9285969
322497549,43.0963697,131.9020845
322497553,43.0961853,131.9040081
322497559,43.0958066,131.9066736
322611928,43.1012563,131.9051937
329436393,43.1052111,131.8947233
329436644,43.1030979,131.8932696
329436667,43.1015215,131.8896713
329442082,43.1016049,131.8943678
329459263,43.094482,131.8858947
329465267,43.0944541,131.8954394
329467373,43.0938906,131.893277
329509565,43.0869361,131.9061387
329509568,43.0869843,131.9052031
329511732,43.118361,131.9562152
329513914,43.1240668,131.957297
329585754,43.1281743,131.9027702
329585771,43.1289165,131.9061341
329585786,43.1304355,131.9093215
329585815,43.1328488,131.9110957
329587709,43.1359652,131.9016824
330870785,43.0933236,131.9796191
330872196,43.1104967,131.9585009
330873047,43.1079265,131.9576596
333741490,43.1132937,131.9175755
333741568,43.1183371,131.9192097
333748147,43.1122872,131.9197298
338997179,43.0987925,131.9134547
339005925,43.0985144,131.9041395
